Rank,Release Group,Worldwide,Domestic,%,Foreign,%
101,Back to the Future 2020 Re-release,"$406,408","$247,000",60.8%,"$159,408",39.2%
102,Burden,"$327,838","$139,270",42.5%,"$188,568",57.5%
103,Bohemian Rhapsody 2020 Re-release,"$307,020","$240,000",78.2%,"$67,020",21.8%
104,Summerland,"$301,381","$57,567",19.1%,"$243,814",80.9%
105,Gremlins 2020 Re-release,"$295,000","$295,000",100%,-,-
106,Resistance,"$288,586","$7,464",2.6%,"$281,122",97.4%
107,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
108,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
109,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
110,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
111,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
112,The Trip to Greece,"$233,014","$8,340",3.6%,"$224,674",96.4%
113,Fatima,"$229,517",-,-,"$229,517",100%
114,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
115,Archive,"$227,171","$139,593",61.4%,"$87,578",38.6%
116,Never Rarely Sometimes Always,"$225,830","$16,565",7.3%,"$209,265",92.7%
117,Tulsa,"$208,653","$208,653",100%,-,-
118,Tesla,"$197,428","$85,929",43.5%,"$111,499",56.5%
119,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
120,Cruel Peter,"$163,925",-,-,"$163,925",100%
121,The Booksellers,"$156,917","$25,694",16.4%,"$131,223",83.6%
122,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
123,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
124,Incitement,"$140,306","$140,306",100%,-,-
125,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
126,Most Wanted,"$138,000","$138,000",100%,-,-
127,Beneath Us,"$137,260","$137,260",100%,-,-
128,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
129,Only,"$125,603",-,-,"$125,603",100%
130,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
131,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
132,Irresistible,"$111,835",-,-,"$111,835",100%
133,Lucky Grandma,"$102,000","$102,000",100%,-,-
134,First Cow,"$101,068","$101,068",100%,-,-
135,The Silencing,"$100,746","$100,746",100%,-,-
136,Antebellum,"$97,209",-,-,"$97,209",100%
137,First Lady,"$93,298","$93,298",100%,-,-
138,Miss Juneteenth,"$92,349","$92,349",100%,-,-
139,Young Ahmed Domestic,"$83,470","$21,291",25.5%,"$62,179",74.5%
140,Shirley,"$75,923",-,-,"$75,923",100%
141,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
142,How to Build a Girl,"$70,632","$70,632",100%,-,-
143,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
144,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
145,A Simple Wedding,"$54,415","$54,415",100%,-,-
146,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
147,VHYes,"$47,037","$47,037",100%,-,-
148,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
149,House of Cardin,"$46,737",-,-,"$46,737",100%
150,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
151,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
152,My Brothers' Crossing,"$36,805","$36,805",100%,-,-
153,Three Christs,"$36,723","$36,723",100%,-,-
154,Tread,"$36,527","$36,527",100%,-,-
155,Waiting for Anya,"$36,404",-,-,"$36,404",100%
156,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
157,After Parkland,"$30,444","$30,444",100%,-,-
158,Olympic Dreams,"$29,450","$29,450",100%,-,-
159,Buffaloed,"$29,118","$29,118",100%,-,-
160,The War with Grandpa,"$28,682",-,-,"$28,682",100%
161,Abe,"$28,657",-,-,"$28,657",100%
162,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
163,José,"$26,563","$26,563",100%,-,-
164,Unsubscribe,"$25,488","$25,488",100%,-,-
165,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
166,Stage Mother,"$24,736",-,-,"$24,736",100%
167,Heart of Africa,"$24,139","$24,139",100%,-,-
168,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
169,Premature,"$23,071","$23,071",100%,-,-
170,L'Innocente,"$22,549","$22,549",100%,-,-
171,Never Too Late,"$21,915",-,-,"$21,915",100%
172,Lore,"$20,006","$20,006",100%,-,-
173,Sputnik,"$18,853","$18,853",100%,-,-
174,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
175,Made in Hong Kong,"$17,255","$17,255",100%,-,-
176,Advocate,"$16,942","$16,942",100%,-,-
177,The Bay of Silence,"$16,110","$1,941",12%,"$14,169",88%
178,Straight Up,"$16,080","$16,080",100%,-,-
179,American Deep State,"$15,269","$15,269",100%,-,-
180,"I Was at Home, But...","$14,078","$14,078",100%,-,-
181,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,116","$12,116",100%,-,-
182,Centigrade,"$11,766","$11,766",100%,-,-
183,The Grizzlies,"$11,660","$11,660",100%,-,-
184,Powerbomb,"$11,319","$11,319",100%,-,-
185,Lost in America,"$11,301","$11,301",100%,-,-
186,You Go to My Head,"$10,682","$10,682",100%,-,-
187,Foosballers,"$9,966","$9,966",100%,-,-
188,Guest Artist,"$9,573","$9,573",100%,-,-
189,Just One More Kiss,"$9,130","$9,130",100%,-,-
190,Inside the Rain,"$8,140","$8,140",100%,-,-
191,The Wave,"$8,101","$8,101",100%,-,-
192,I AM PATRICK,"$7,880",-,-,"$7,880",100%
193,Valley Girl,"$7,671",-,-,"$7,671",100%
194,What We Found,"$6,976","$6,976",100%,-,-
195,The Other Lamb,"$6,760","$6,024",89.1%,$736,10.9%
196,Human Capital,"$6,596","$6,596",100%,-,-
197,Afterward,"$6,477","$6,477",100%,-,-
198,Still Here,"$5,268","$5,268",100%,-,-
199,Sex and the Future,"$4,815","$4,815",100%,-,-
200,In the Life of Music,"$4,784","$4,784",100%,-,-
201,King's Gambit,"$3,816","$3,816",100%,-,-
202,The Roads Not Taken,"$3,518","$3,518",100%,-,-
203,Moondance,"$2,371","$2,371",100%,-,-
204,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
205,Goldie,"$2,302","$2,302",100%,-,-
206,Gul Makai,"$2,035",-,-,"$2,035",100%
207,The Fox Hunter,"$1,577","$1,577",100%,-,-
208,Hai Tang Hong,"$1,107","$1,107",100%,-,-
209,The Transcendents,"$1,090","$1,090",100%,-,-
210,Greater 2020 Re-release,$527,$527,100%,-,-
211,Spaceship Earth,$201,-,-,$201,100%
212,Savage,$175,-,-,$175,100%
